❌ 'Ensalada ensatún' → {'nombre': 'Ensalada ensatún', 'envase': 'Bol', 'size': '250 Gramos', 'precio': 2.49, 'subcategoria': 'Salsas'} (Esperado: {'nombre': 'Ensalada ensatún', 'envase': 'Bol', 'size': '250 Gramos', 'precio': 2.49, 'subcategoria': 'Platos preparados'})
❌ 'Ensalada jamón' → {'nombre': 'Ensalada jamón', 'envase': 'Bol', 'size': '215 Gramos', 'precio': 2.49, 'subcategoria': 'Charcutería'} (Esperado: {'nombre': 'Ensalada jamón', 'envase': 'Bol', 'size': '215 Gramos', 'precio': 2.49, 'subcategoria': 'Platos preparados'})
❌ 'Ensalada queso de cabra' → {'nombre': 'Ensalada queso de cabra', 'envase': 'Bol', 'size': '135 Gramos', 'precio': 2.79, 'subcategoria': 'Quesos'} (Esperado: {'nombre': 'Ensalada queso de cabra', 'envase': 'Bol', 'size': '135 Gramos', 'precio': 2.79, 'subcategoria': 'Platos preparados'})
❌ 'Ensalada de pasta Listo para Comer' → {'nombre': 'Ensalada de pasta Listo para Comer', 'envase': 'Bol', 'size': '366 Gramos', 'precio': 4.0, 'subcategoria': 'Arroz, legumbres y pastas'} (Esperado: {'nombre': 'Ensalada de pasta Listo para Comer', 'envase': 'Bol', 'size': '366 Gramos', 'precio': 4.0, 'subcategoria': 'Platos preparados'})
❌ 'Ensalada de pollo' → {'nombre': 'Ensalada de pollo', 'envase': 'queso y frutos secos Listo para Comer', 'size': 'Bol', 'precio': 250.0, 'subcategoria': 'Platos preparados'} (Esperado: {'nombre': 'Ensalada de pollo', 'envase': 'Bol', 'size': '250 Gramos', 'precio': 4.0, 'subcategoria': 'Platos preparados'})
❌ 'Relleno fajitas pollo' → {'nombre': 'Relleno fajitas pollo', 'envase': 'pimientos y cebolla Hacendado ultracongelado', 'size': 'Paquete', 'precio': 300.0, 'subcategoria': 'Carne'} (Esperado: {'nombre': 'Relleno fajitas pollo', 'envase': 'pimientos y cebolla Hacendado ultracongelado', 'size': '300 Gramos', 'precio': 1.95, 'subcategoria': 'Congelados'})
❌ 'Salteado de gambas' → {'nombre': 'Salteado de gambas', 'envase': 'espárragos verdes', 'size': 'ajos tiernos', 'precio': 0.0, 'subcategoria': 'Pescado y marisco'} (Esperado: {'nombre': 'Salteado de gambas', 'envase': 'Paquete', 'size': '450 Gramos', 'precio': 2.9, 'subcategoria': 'Congelados'})
❌ 'Ajo troceado Hacendado ultracongelado' → {'nombre': 'Ajo troceado Hacendado ultracongelado', 'envase': 'Paquete', 'size': '150 Gramos', 'precio': 1.04, 'subcategoria': 'Aceite y vinagre'} (Esperado: {'nombre': 'Ajo troceado Hacendado ultracongelado', 'envase': 'Paquete', 'size': '150 Gramos', 'precio': 1.04, 'subcategoria': 'Congelados'})
❌ 'Dorada limpia con cabeza' → {'nombre': 'Dorada limpia con cabeza', 'envase': 'Pieza', 'size': '390 Gramos aprox.', 'precio': 3.71, 'subcategoria': 'Fruta y verdura'} (Esperado: {'nombre': 'Dorada limpia con cabeza', 'envase': 'Pieza', 'size': '390 Gramos aprox.', 'precio': 3.71, 'subcategoria': 'Pescado y marisco'})
❌ 'Dorada abierta en libro sin cabeza y sin espina' → {'nombre': 'Dorada abierta en libro sin cabeza y sin espina', 'envase': 'Pieza', 'size': '390 Gramos aprox.', 'precio': 3.71, 'subcategoria': 'Galletas y cereales'} (Esperado: {'nombre': 'Dorada abierta en libro sin cabeza y sin espina', 'envase': 'Pieza', 'size': '390 Gramos aprox.', 'precio': 3.71, 'subcategoria': 'Pescado y marisco'})
❌ 'Dorada sin limpiar' → {'nombre': 'Dorada sin limpiar', 'envase': 'Pieza', 'size': '390 Gramos aprox.', 'precio': 3.71, 'subcategoria': 'Fruta y verdura'} (Esperado: {'nombre': 'Dorada sin limpiar', 'envase': 'Pieza', 'size': '390 Gramos aprox.', 'precio': 3.71, 'subcategoria': 'Pescado y marisco'})
❌ 'Acedía sin cabeza y sin piel oscura' → {'nombre': 'Acedía sin cabeza y sin piel oscura', 'envase': 'Granel', 'size': '200 Gramos aprox.', 'precio': 3.792, 'subcategoria': 'Aceite y vinagre'} (Esperado: {'nombre': 'Acedía sin cabeza y sin piel oscura', 'envase': 'Granel', 'size': '200 Gramos aprox.', 'precio': 3.792, 'subcategoria': 'Pescado y marisco'})
❌ 'Acedía sin escamas' → {'nombre': 'Acedía sin escamas', 'envase': 'Granel', 'size': '200 Gramos aprox.', 'precio': 3.792, 'subcategoria': 'Aceite y vinagre'} (Esperado: {'nombre': 'Acedía sin escamas', 'envase': 'Granel', 'size': '200 Gramos aprox.', 'precio': 3.792, 'subcategoria': 'Pescado y marisco'})
❌ 'Filetes de Gallineta descongelada' → {'nombre': 'Filetes de Gallineta descongelada', 'envase': 'Bandeja', 'size': '380 Gramos aprox.', 'precio': 5.7, 'subcategoria': 'Congelados'} (Esperado: {'nombre': 'Filetes de Gallineta descongelada', 'envase': 'Bandeja', 'size': '380 Gramos aprox.', 'precio': 5.7, 'subcategoria': 'Pescado y marisco'})
❌ 'Langostino crudo Hacendado ultracongelado' → {'nombre': 'Langostino crudo Hacendado ultracongelado', 'envase': 'Caja', 'size': '600 Gramos escurrido', 'precio': 5.95, 'subcategoria': 'Pescado y marisco'} (Esperado: {'nombre': 'Langostino crudo Hacendado ultracongelado', 'envase': 'Caja', 'size': '600 Gramos escurrido', 'precio': 5.95, 'subcategoria': 'Congelados'})
❌ 'Langostino crudo y pelado Hacendado ultracongelado' → {'nombre': 'Langostino crudo y pelado Hacendado ultracongelado', 'envase': 'Bandeja', 'size': '220 Gramos escurrido', 'precio': 3.95, 'subcategoria': 'Pescado y marisco'} (Esperado: {'nombre': 'Langostino crudo y pelado Hacendado ultracongelado', 'envase': 'Bandeja', 'size': '220 Gramos escurrido', 'precio': 3.95, 'subcategoria': 'Congelados'})
❌ 'Camarón boreal cocido y pelado Royal Greenland ultracongelado' → {'nombre': 'Camarón boreal cocido y pelado Royal Greenland ultracongelado', 'envase': 'Paquete', 'size': '200 Gramos', 'precio': 4.25, 'subcategoria': 'Pescado y marisco'} (Esperado: {'nombre': 'Camarón boreal cocido y pelado Royal Greenland ultracongelado', 'envase': 'Paquete', 'size': '200 Gramos', 'precio': 4.25, 'subcategoria': 'Congelados'})
❌ 'Carne de mejillón de Chile cocido Hacendado ultracongelado' → {'nombre': 'Carne de mejillón de Chile cocido Hacendado ultracongelado', 'envase': 'Paquete', 'size': '275 Gramos escurrido', 'precio': 2.35, 'subcategoria': 'Pescado y marisco'} (Esperado: {'nombre': 'Carne de mejillón de Chile cocido Hacendado ultracongelado', 'envase': 'Paquete', 'size': '275 Gramos escurrido', 'precio': 2.35, 'subcategoria': 'Congelados'})
❌ 'Mejillón de Chile entero cocido Hacendado ultracongelado' → {'nombre': 'Mejillón de Chile entero cocido Hacendado ultracongelado', 'envase': 'Caja', 'size': '450 Gramos', 'precio': 3.25, 'subcategoria': 'Pescado y marisco'} (Esperado: {'nombre': 'Mejillón de Chile entero cocido Hacendado ultracongelado', 'envase': 'Caja', 'size': '450 Gramos', 'precio': 3.25, 'subcategoria': 'Congelados'})
❌ 'Filetes de merluza Argentina sin piel Hacendado ultracongelados' → {'nombre': 'Filetes de merluza Argentina sin piel Hacendado ultracongelados', 'envase': 'Paquete', 'size': '600 Gramos escurrido', 'precio': 5.2, 'subcategoria': 'Pescado y marisco'} (Esperado: {'nombre': 'Filetes de merluza Argentina sin piel Hacendado ultracongelados', 'envase': 'Paquete', 'size': '600 Gramos escurrido', 'precio': 5.2, 'subcategoria': 'Congelados'})
❌ 'Filetes de bacalao MareDeus ultracongelado' → {'nombre': 'Filetes de bacalao MareDeus ultracongelado', 'envase': 'Paquete', 'size': '375 Gramos escurrido', 'precio': 6.6, 'subcategoria': 'Pescado y marisco'} (Esperado: {'nombre': 'Filetes de bacalao MareDeus ultracongelado', 'envase': 'Paquete', 'size': '375 Gramos escurrido', 'precio': 6.6, 'subcategoria': 'Congelados'})
❌ 'Medallones de merluza Hacendado ultracongelados' → {'nombre': 'Medallones de merluza Hacendado ultracongelados', 'envase': 'Paquete', 'size': '485 Gramos escurrido', 'precio': 4.0, 'subcategoria': 'Pescado y marisco'} (Esperado: {'nombre': 'Medallones de merluza Hacendado ultracongelados', 'envase': 'Paquete', 'size': '485 Gramos escurrido', 'precio': 4.0, 'subcategoria': 'Congelados'})
❌ 'Filete de salmón rosado salvaje con piel Hacendado ultracongelado' → {'nombre': 'Filete de salmón rosado salvaje con piel Hacendado ultracongelado', 'envase': 'Pieza', 'size': '300 Gramos aprox. escurrido', 'precio': 3.88, 'subcategoria': 'Pescado y marisco'} (Esperado: {'nombre': 'Filete de salmón rosado salvaje con piel Hacendado ultracongelado', 'envase': 'Pieza', 'size': '300 Gramos aprox. escurrido', 'precio': 3.88, 'subcategoria': 'Congelados'})
❌ 'Lomos de merluza del Cabo Hacendado ultracongelados' → {'nombre': 'Lomos de merluza del Cabo Hacendado ultracongelados', 'envase': 'Caja', 'size': '400 Gramos', 'precio': 4.6, 'subcategoria': 'Pescado y marisco'} (Esperado: {'nombre': 'Lomos de merluza del Cabo Hacendado ultracongelados', 'envase': 'Caja', 'size': '400 Gramos', 'precio': 4.6, 'subcategoria': 'Congelados'})
❌ 'Porciones de merluza del Cabo sin piel Hacendado ultracongeladas' → {'nombre': 'Porciones de merluza del Cabo sin piel Hacendado ultracongeladas', 'envase': 'Paquete', 'size': '500 Gramos escurrido', 'precio': 4.9, 'subcategoria': 'Pescado y marisco'} (Esperado: {'nombre': 'Porciones de merluza del Cabo sin piel Hacendado ultracongeladas', 'envase': 'Paquete', 'size': '500 Gramos escurrido', 'precio': 4.9, 'subcategoria': 'Congelados'})
❌ 'Pescadilla de merluza sin cabeza Hacendado ultracongelada' → {'nombre': 'Pescadilla de merluza sin cabeza Hacendado ultracongelada', 'envase': 'Paquete', 'size': '1 Kilo escurrido', 'precio': 5.25, 'subcategoria': 'Pescado y marisco'} (Esperado: {'nombre': 'Pescadilla de merluza sin cabeza Hacendado ultracongelada', 'envase': 'Paquete', 'size': '1 Kilo escurrido', 'precio': 5.25, 'subcategoria': 'Congelados'})
❌ 'Merluza del Cabo sin cabeza Hacendado ultracongelada' → {'nombre': 'Merluza del Cabo sin cabeza Hacendado ultracongelada', 'envase': 'Pieza', 'size': '700 Gramos aprox. escurrido', 'precio': 5.77, 'subcategoria': 'Pescado y marisco'} (Esperado: {'nombre': 'Merluza del Cabo sin cabeza Hacendado ultracongelada', 'envase': 'Pieza', 'size': '700 Gramos aprox. escurrido', 'precio': 5.77, 'subcategoria': 'Congelados'})
❌ 'Lomos de salmón sin piel y sin espinas Hacendado congelado' → {'nombre': 'Lomos de salmón sin piel y sin espinas Hacendado congelado', 'envase': 'Paquete', 'size': '2 Unidades (250 g)', 'precio': 6.5, 'subcategoria': 'Pescado y marisco'} (Esperado: {'nombre': 'Lomos de salmón sin piel y sin espinas Hacendado congelado', 'envase': 'Paquete', 'size': '2 Unidades (250 g)', 'precio': 6.5, 'subcategoria': 'Congelados'})
❌ 'Rodajas de merluza Argentina Hacendado ultracongeladas' → {'nombre': 'Rodajas de merluza Argentina Hacendado ultracongeladas', 'envase': 'Paquete', 'size': '580 Gramos escurrido', 'precio': 4.5, 'subcategoria': 'Pescado y marisco'} (Esperado: {'nombre': 'Rodajas de merluza Argentina Hacendado ultracongeladas', 'envase': 'Paquete', 'size': '580 Gramos escurrido', 'precio': 4.5, 'subcategoria': 'Congelados'})
❌ 'Filetes de merluza grandes sin piel Hacendado ultracongelados' → {'nombre': 'Filetes de merluza grandes sin piel Hacendado ultracongelados', 'envase': 'Paquete', 'size': '970 Gramos escurrido', 'precio': 10.5, 'subcategoria': 'Pescado y marisco'} (Esperado: {'nombre': 'Filetes de merluza grandes sin piel Hacendado ultracongelados', 'envase': 'Paquete', 'size': '970 Gramos escurrido', 'precio': 10.5, 'subcategoria': 'Congelados'})
❌ 'Lomo de bacalao MareDeus ultracongelado' → {'nombre': 'Lomo de bacalao MareDeus ultracongelado', 'envase': 'Paquete', 'size': '384 Gramos aprox.', 'precio': 7.68, 'subcategoria': 'Pescado y marisco'} (Esperado: {'nombre': 'Lomo de bacalao MareDeus ultracongelado', 'envase': 'Paquete', 'size': '384 Gramos aprox.', 'precio': 7.68, 'subcategoria': 'Congelados'})
❌ 'Colas de merluza Argentina Hacendado ultracongeladas' → {'nombre': 'Colas de merluza Argentina Hacendado ultracongeladas', 'envase': 'Paquete', 'size': '1 Kilo escurrido', 'precio': 5.25, 'subcategoria': 'Pescado y marisco'} (Esperado: {'nombre': 'Colas de merluza Argentina Hacendado ultracongeladas', 'envase': 'Paquete', 'size': '1 Kilo escurrido', 'precio': 5.25, 'subcategoria': 'Congelados'})
❌ 'Filetes de boquerón en tempura Hacendado ultracongelado' → {'nombre': 'Filetes de boquerón en tempura Hacendado ultracongelado', 'envase': 'Paquete', 'size': '400 Gramos', 'precio': 3.75, 'subcategoria': 'Pescado y marisco'} (Esperado: {'nombre': 'Filetes de boquerón en tempura Hacendado ultracongelado', 'envase': 'Paquete', 'size': '400 Gramos', 'precio': 3.75, 'subcategoria': 'Congelados'})
❌ 'Boquerones en vinagre Hacendado en aceite de girasol' → {'nombre': 'Boquerones en vinagre Hacendado en aceite de girasol', 'envase': 'Bandeja', 'size': '80 Gramos (60 Gramos escurrido)', 'precio': 1.65, 'subcategoria': 'Aceite y vinagre'} (Esperado: {'nombre': 'Boquerones en vinagre Hacendado en aceite de girasol', 'envase': 'Bandeja', 'size': '80 Gramos (60 Gramos escurrido)', 'precio': 1.65, 'subcategoria': 'Pescado y marisco'})
❌ 'Carrillada de cerdo' → {'nombre': 'Carrillada de cerdo', 'envase': 'Bandeja', 'size': '440 Gramos aprox.', 'precio': 5.76, 'subcategoria': 'Charcutería'} (Esperado: {'nombre': 'Carrillada de cerdo', 'envase': 'Bandeja', 'size': '440 Gramos aprox.', 'precio': 5.76, 'subcategoria': 'Carne'})
❌ 'Costilla de cerdo ibérico adobada' → {'nombre': 'Costilla de cerdo ibérico adobada', 'envase': 'Bandeja', 'size': '500 Gramos aprox.', 'precio': 3.78, 'subcategoria': 'Charcutería'} (Esperado: {'nombre': 'Costilla de cerdo ibérico adobada', 'envase': 'Bandeja', 'size': '500 Gramos aprox.', 'precio': 3.78, 'subcategoria': 'Carne'})
❌ 'Chuletas de cerdo sajonia' → {'nombre': 'Chuletas de cerdo sajonia', 'envase': 'Bandeja', 'size': '400 Gramos aprox.', 'precio': 3.76, 'subcategoria': 'Charcutería'} (Esperado: {'nombre': 'Chuletas de cerdo sajonia', 'envase': 'Bandeja', 'size': '400 Gramos aprox.', 'precio': 3.76, 'subcategoria': 'Carne'})
❌ 'Manos de cerdo' → {'nombre': 'Manos de cerdo', 'envase': 'Bandeja', 'size': '500 Gramos aprox.', 'precio': 3.55, 'subcategoria': 'Charcutería'} (Esperado: {'nombre': 'Manos de cerdo', 'envase': 'Bandeja', 'size': '500 Gramos aprox.', 'precio': 3.55, 'subcategoria': 'Carne'})
❌ 'Filetes lomo de cerdo adobado' → {'nombre': 'Filetes lomo de cerdo adobado', 'envase': 'Bandeja', 'size': '520 Gramos aprox.', 'precio': 3.74, 'subcategoria': 'Charcutería'} (Esperado: {'nombre': 'Filetes lomo de cerdo adobado', 'envase': 'Bandeja', 'size': '520 Gramos aprox.', 'precio': 3.74, 'subcategoria': 'Carne'})
❌ 'Flautas de bacón y queso' → {'nombre': 'Flautas de bacón y queso', 'envase': 'Bandeja', 'size': '280 Gramos', 'precio': 2.2, 'subcategoria': 'Charcutería'} (Esperado: {'nombre': 'Flautas de bacón y queso', 'envase': 'Bandeja', 'size': '280 Gramos', 'precio': 2.2, 'subcategoria': 'Platos preparados'})
❌ 'Pluma de cerdo ibérico' → {'nombre': 'Pluma de cerdo ibérico', 'envase': 'Bandeja', 'size': '270 Gramos aprox.', 'precio': 8.18, 'subcategoria': 'Charcutería'} (Esperado: {'nombre': 'Pluma de cerdo ibérico', 'envase': 'Bandeja', 'size': '270 Gramos aprox.', 'precio': 8.18, 'subcategoria': 'Carne'})
❌ 'Secreto de cerdo ibérico' → {'nombre': 'Secreto de cerdo ibérico', 'envase': 'Bandeja', 'size': '250 Gramos aprox.', 'precio': 6.25, 'subcategoria': 'Charcutería'} (Esperado: {'nombre': 'Secreto de cerdo ibérico', 'envase': 'Bandeja', 'size': '250 Gramos aprox.', 'precio': 6.25, 'subcategoria': 'Carne'})
❌ 'Pinchos de cerdo adobado sin varilla' → {'nombre': 'Pinchos de cerdo adobado sin varilla', 'envase': 'Bandeja', 'size': '510 Gramos aprox.', 'precio': 4.13, 'subcategoria': 'Charcutería'} (Esperado: {'nombre': 'Pinchos de cerdo adobado sin varilla', 'envase': 'Bandeja', 'size': '510 Gramos aprox.', 'precio': 4.13, 'subcategoria': 'Carne'})
❌ 'Chuletas aguja de cerdo' → {'nombre': 'Chuletas aguja de cerdo', 'envase': 'Bandeja', 'size': '750 Gramos aprox.', 'precio': 4.2, 'subcategoria': 'Charcutería'} (Esperado: {'nombre': 'Chuletas aguja de cerdo', 'envase': 'Bandeja', 'size': '750 Gramos aprox.', 'precio': 4.2, 'subcategoria': 'Carne'})
❌ 'Panceta fina sin corteza' → {'nombre': 'Panceta fina sin corteza', 'envase': 'Bandeja', 'size': '500 Gramos aprox.', 'precio': 3.9, 'subcategoria': 'Charcutería'} (Esperado: {'nombre': 'Panceta fina sin corteza', 'envase': 'Bandeja', 'size': '500 Gramos aprox.', 'precio': 3.9, 'subcategoria': 'Carne'})
❌ 'Fiambre de magreta de cerdo al ajillo' → {'nombre': 'Fiambre de magreta de cerdo al ajillo', 'envase': 'Bandeja', 'size': '350 Gramos', 'precio': 3.0, 'subcategoria': 'Charcutería'} (Esperado: {'nombre': 'Fiambre de magreta de cerdo al ajillo', 'envase': 'Bandeja', 'size': '350 Gramos', 'precio': 3.0, 'subcategoria': 'Carne'})
❌ 'Costilleja de cerdo ibérica' → {'nombre': 'Costilleja de cerdo ibérica', 'envase': 'Pieza', 'size': '560 Gramos aprox.', 'precio': 4.2, 'subcategoria': 'Charcutería'} (Esperado: {'nombre': 'Costilleja de cerdo ibérica', 'envase': 'Pieza', 'size': '560 Gramos aprox.', 'precio': 4.2, 'subcategoria': 'Carne'})
❌ 'Abanico de cerdo ibérico' → {'nombre': 'Abanico de cerdo ibérico', 'envase': 'Bandeja', 'size': '240 Gramos aprox.', 'precio': 4.54, 'subcategoria': 'Charcutería'} (Esperado: {'nombre': 'Abanico de cerdo ibérico', 'envase': 'Bandeja', 'size': '240 Gramos aprox.', 'precio': 4.54, 'subcategoria': 'Carne'})
❌ 'Secreto de cerdo' → {'nombre': 'Secreto de cerdo', 'envase': 'Paquete', 'size': '750 Gramos aprox.', 'precio': 4.88, 'subcategoria': 'Charcutería'} (Esperado: {'nombre': 'Secreto de cerdo', 'envase': 'Paquete', 'size': '750 Gramos aprox.', 'precio': 4.88, 'subcategoria': 'Carne'})
❌ 'Chuletas lomo de cerdo finas' → {'nombre': 'Chuletas lomo de cerdo finas', 'envase': 'Bandeja', 'size': '450 Gramos aprox.', 'precio': 3.11, 'subcategoria': 'Charcutería'} (Esperado: {'nombre': 'Chuletas lomo de cerdo finas', 'envase': 'Bandeja', 'size': '450 Gramos aprox.', 'precio': 3.11, 'subcategoria': 'Carne'})
❌ 'Panceta de cerdo adobada sin corteza' → {'nombre': 'Panceta de cerdo adobada sin corteza', 'envase': 'Bandeja', 'size': '600 Gramos aprox.', 'precio': 5.16, 'subcategoria': 'Charcutería'} (Esperado: {'nombre': 'Panceta de cerdo adobada sin corteza', 'envase': 'Bandeja', 'size': '600 Gramos aprox.', 'precio': 5.16, 'subcategoria': 'Carne'})
❌ 'Taquitos de cerdo' → {'nombre': 'Taquitos de cerdo', 'envase': 'Bandeja', 'size': '400 Gramos aprox.', 'precio': 1.96, 'subcategoria': 'Charcutería'} (Esperado: {'nombre': 'Taquitos de cerdo', 'envase': 'Bandeja', 'size': '400 Gramos aprox.', 'precio': 1.96, 'subcategoria': 'Carne'})
❌ 'Contramuslos de pollo deshuesados y sin piel' → {'nombre': 'Contramuslos de pollo deshuesados y sin piel', 'envase': 'Bandeja', 'size': '620 Gramos aprox.', 'precio': 4.03, 'subcategoria': 'Pescado y marisco'} (Esperado: {'nombre': 'Contramuslos de pollo deshuesados y sin piel', 'envase': 'Bandeja', 'size': '620 Gramos aprox.', 'precio': 4.03, 'subcategoria': 'Carne'})
❌ 'Brochetas de pollo' → {'nombre': 'Brochetas de pollo', 'envase': 'pimiento verde y tocino de cerdo con varilla', 'size': 'Bandeja', 'precio': 370.0, 'subcategoria': 'Carne'} (Esperado: {'nombre': 'Brochetas de pollo', 'envase': 'pimiento verde y tocino de cerdo con varilla', 'size': 'Bandeja', 'precio': 3.11, 'subcategoria': 'Carne'})
❌ 'Jamoncitos de pollo' → {'nombre': 'Jamoncitos de pollo', 'envase': 'Bandeja', 'size': '920 Gramos aprox.', 'precio': 3.22, 'subcategoria': 'Charcutería'} (Esperado: {'nombre': 'Jamoncitos de pollo', 'envase': 'Bandeja', 'size': '920 Gramos aprox.', 'precio': 3.22, 'subcategoria': 'Carne'})
